Ranking,Company Name,Symbol
455,Stanley Black & Decker,SWK
456,Hasbro,HAS
457,Universal Health Services,UHS
458,Camden Property Trust,CPT
459,Wynn Resorts,WYNN
460,Norwegian Cruise Line Holdings,NCLH
461,News Corp (Class A),NWSA
462,Skyworks Solutions,SWKS
463,Globe Life,GL
464,Moderna,MRNA
465,Host Hotels & Resorts,HST
466,Akamai Technologies,AKAM
467,Pinnacle West,PNW
468,Dayforce,DAY
469,Assurant,AIZ
470,Align Technology,ALGN
471,Huntington Ingalls Industries,HII
472,Revvity,RVTY
473,Walgreens Boots Alliance,WBA
474,BXP Inc.,BXP
475,Mosaic Company (The),MOS
476,A. O. Smith,AOS
477,Molson Coors Beverage Company,TAP
478,MGM Resorts,MGM
479,Albemarle Corporation,ALB
480,Campbell Soup Company,CPB
481,Interpublic Group of Companies (The),IPG
482,DaVita,DVA
483,AES Corporation,AES
484,Invesco,IVZ
485,Molina Healthcare,MOH
486,EPAM Systems,EPAM
487,Match Group,MTCH
488,Paramount Skydance Corp,PSKY
489,Conagra Brands,CAG
490,CarMax,KMX
491,Bio-Techne,TECH
492,Henry Schein,HSIC
493,Federal Realty Investment Trust,FRT
494,LKQ Corporation,LKQ
495,Mohawk Industries,MHK
496,Charles River Laboratories,CRL
497,Lamb Weston,LW
498,Eastman Chemical Company,EMN
499,APA Corporation,APA
500,MarketAxess,MKTX
501,News Corp (Class B),NWS
502,Caesars Entertainment,CZR
503,Enphase Energy,ENPH
