Ranking,Company Name,Symbol
338,First Citizens Bancs,FCNCA
339,Freeport-Mcmoran Inc,FCX
340,Factset Research Systems Inc,FDS
341,Fedex Corp,FDX
342,Firstenergy Corp,FE
343,F5 Inc,FFIV
344,F&G Annuities & Life Inc,FG
345,First Hawaiian Inc,FHB
346,First Horizon Corp,FHN
347,Fair Isaac and Company,FICO
348,Fidelity National Information Services,FIS
349,Fiserv Inc,FISV
350,Fifth Third Bancorp,FITB
351,Five Below Inc,FIVE
352,Five9 Inc,FIVN
353,Flowers Foods,FLO
354,Flowserve Corp,FLS
355,Fleetcor Technologies,FLT
356,FMC Corp,FMC
357,F.N.B. Corp,FNB
358,Floor & Decor Holdings Inc,FND
359,Fidelity National Financial,FNF
360,Shift4 Payments Inc,FOUR
361,Fox Corp Cl B,FOX
362,Fox Corp Cl A,FOXA
363,First Industrial Realty Trust,FR
364,First Republic Bank,FRC
365,Freshpet Inc CS,FRPT
366,Federal Realty Investment Trust,FRT
367,First Solar Inc,FSLR
368,Fortinet Inc,FTNT
369,Fortive Corp,FTV
370,Liberty Media F1 Series A,FWONA
371,Liberty Media F1 Series K,FWONK
372,Frontier Communications Parent Inc,FYBR
373,Genpact Ltd,G
374,General Dynamics Corp,GD
375,Godaddy Inc,GDDY
376,General Electric Company,GE
377,Ge Healthcare Technologies Inc,GEHC
378,Gen Digital Inc,GEN
379,Globalfoundries Inc,GFS
380,Graco Inc,GGG
381,Guardant Health Inc,GH
382,Gilead Sciences Inc,GILD
383,General Mills,GIS
384,Globe Life Inc,GL
385,Globant S.A.,GLOB
386,Gaming & Leisure,GLPI
387,Corning Inc,GLW
388,General Motors Company,GM
389,Gamestop Corp,GME
390,Globus Medical Inc,GMED
391,Generac Holdings Inc,GNRC
392,Gentex Corp,GNTX
393,Grocery Outlet Holding Corp,GO
394,Alphabet Cl C,GOOG
395,Alphabet Cl A,GOOGL
396,Genuine Parts Company,GPC
397,Graphic Packaging Holding Company,GPK
398,Global Payments Inc,GPN
399,Gap Inc,GPS
400,Garmin Ltd,GRMN
401,Goldman Sachs Group,GS
402,Gates Industrial Corp Plc,GTES
403,Guidewire Software Inc,GWRE
404,W.W. Grainger,GWW
405,Gxo Logistics Inc,GXO
406,Hyatt Hotels Corp,H
407,Halliburton Company,HAL
408,Hasbro Inc,HAS
409,Hayward Holdings Inc,HAYW
410,Huntington Bcshs,HBAN
411,Hanesbrands Inc,HBI
412,Hca Holdings Inc,HCA
413,Home Depot,HD
414,Hawaiian Electric Industries,HE
415,Heico Corp,HEI
416,Heico Cp Cl A,HEI.A
417,Hess Corp,HES
418,Howard Hughes Corp,HHC
419,Hartford Financial Services Group,HIG
420,Huntington Ingalls Industries,HII
421,Highwoods Properties,HIW
422,Hilton Inc,HLT
423,Harley-Davidson Inc,HOG
424,Hologic Inc,HOLX
425,Honeywell International Inc,HON
426,Robinhood Markets Inc Cl A,HOOD
427,Hewlett Packard Enterprise Comp,HPE
428,Hudson Pacific Properties,HPP
429,HP Inc,HPQ
430,Healthcare Realty Trust Inc.,HR
431,H&R Block,HRB
432,Hormel Foods Corp,HRL
433,Henry Schein Inc,HSIC
434,Host Marriott Financial Trust,HST
435,Hershey Foods Corp,HSY
436,Hertz Global Holdings Inc,HTZ
437,Hubbell Inc B,HUBB
438,Hubspot Inc,HUBS
439,Humana Inc,HUM
440,Huntsman Corp,HUN
441,Howmet Aerospace Inc,HWM
442,Hexcel Corp,HXL
443,Horizon Therapeutics,HZNP
444,Iac Inc,IAC
445,Integra Lifesciences,IART
446,Interactive Brokers,IBKR
447,International Business Machines,IBM
448,Intercontinental Exchange,ICE
449,I C U Medical Inc,ICUI
450,Idacorp Inc,IDA
451,Idexx Laboratories,IDXX
452,Idex Corp,IEX
453,International Flavors & Fragrances,IFF
454,Illumina Inc,ILMN
455,Incyte Corp,INCY
456,Informatica Inc Cl A,INFA
457,Ingredion Inc,INGR
458,Intel Corp,INTC
459,Intuit Inc,INTU
460,Invitation Homes Inc,INVH
461,Ionis Pharmaceuticals,IONS
462,International Paper Company,IP
463,Interpublic Group of Companies,IPG
464,Ipg Photonics Corp,IPGP
465,Iqvia Holdings Inc,IQV
466,Ingersoll Rand Inc,IR
467,Iron Mountain Inc,IRM
468,Intuitive Surg Inc,ISRG
469,Gartner Inc,IT
470,ITT Inc,ITT
471,Illinois Tool Works Inc,ITW
472,Invesco Plc,IVZ
473,Jacobs Engineering Group Inc,J
474,Jamf Holding Corp,JAMF
475,Jazz Pharma Plc,JAZZ
476,Jbg Smith Properties,JBGS
477,J B Hunt Transport,JBHT
478,Jabil Circuit,JBL
479,Jetblue Airways Cp,JBLU
480,Johnson Controls Intl,JCI
481,Jefferies Financial Group Inc,JEF
482,Janus Henderson Group Plc,JHG
483,Jack Henry & Assoc,JKHY
484,Jones Lang Lasalle Inc,JLL
485,Johnson & Johnson,JNJ
486,Juniper Networks,JNPR
487,JP Morgan Chase & Company,JPM
488,Nordstrom,JWN
489,Kellogg Company,K
490,KBR Inc,KBR
491,Kyndryl Hldgs Inc,KD
492,Keurig Dr Pepper Inc,KDP
493,Kirby Corp,KEX
494,Keycorp,KEY
495,Keysight Technologies Inc,KEYS
496,Kraft Heinz Company,KHC
497,Kimco Realty Corp,KIM
498,KKR & Company LP,KKR
499,K L A-Tencor Corp,KLAC
500,Kimberly-Clark Corp,KMB
501,Kinder Morgan,KMI
502,Kemper Corp,KMPR
503,Carmax Inc,KMX
504,Knight-Swift Transporation Inc,KNX
505,Coca-Cola Company,KO
506,Kroger Company,KR
507,Kilroy Realty Corp,KRC
508,Kohl's Corp,KSS
509,Loews Corp,L
510,Lithia Motors,LAD
511,Lamar Advertis A,LAMR
512,Lazard Ltd,LAZ
513,Liberty Broadbd A,LBRDA
514,Liberty Broadbd C,LBRDK
515,Lucid Group Inc,LCID
516,Leidos Holdings Inc,LDOS
517,Lear Corp,LEA
518,Lincoln Elec Holdings,LECO
519,Leggett & Platt Inc,LEG
520,Lennar Corp,LEN
521,Lennar Corp Cl B,LEN.B
522,Leslie's Inc,LESL
523,Littelfuse Inc,LFUS
524,Laboratory Corp of America Holdings,LH
525,L3Harris Technologies Inc,LHX
526,Lennox International,LII
527,Linde Plc,LIN
528,Lumentum Holdings,LITE
529,LKQ Corp,LKQ
530,Eli Lilly and Company,LLY
531,Lockheed Martin Corp,LMT
532,Lincoln National Corp,LNC
533,Cheniere Energy,LNG
534,Alliant Energy Corp,LNT
535,Grand Canyon Educati,LOPE
536,Lowe's Companies,LOW
537,Lpl Financial Holdings,LPLA
538,Louisiana-Pacific Corp,LPX
539,Lam Research Corp,LRCX
540,Lattice Semicond,LSCC
541,Life Storage,LSI
542,Landstar System,LSTR
543,Liberty Srs XM CS A,LSXMA
544,Liberty Srs XM CS C,LSXMK
545,Lululemon Athletica,LULU
546,Lumen Technologies Inc,LUMN
547,Southwest Airlines Company,LUV
548,Las Vegas Sands,LVS
549,Lamb Weston Holdings Inc,LW
550,Lyondellbasell Industries NV,LYB
551,Lyft Inc Cl A,LYFT
552,Live Nation Entertainment,LYV
553,Macy's Inc,M
554,Mastercard Inc,MA
555,Mid-America Apartment Communities,MAA
556,Manpower Inc,MAN
557,Manhattan Assoc,MANH
558,Marriot Int Cl A,MAR
559,Masco Corp,MAS
560,Masimo Corp,MASI
561,Mattel Inc,MAT
562,Masterbrand Inc,MBC
563,McDonald's Corp,MCD
564,Microchip Technology,MCHP
565,Mckesson Corp,MCK
566,Moody's Corp,MCO
567,Mister Car Wash Inc,MCW
568,Mongodb Inc Cl A,MDB
569,Mondelez Intl Inc,MDLZ
570,Medtronic Inc,MDT
571,Mdu Res Group Inc,MDU
572,Metlife Inc,MET
573,Meta Platforms Inc,META
574,MGM Resorts International,MGM
575,Mohawk Industries,MHK
576,Middleby Corp,MIDD
577,Mccormick & Company,MKC
578,Markel Corp,MKL
579,Mks Instruments Inc,MKSI
580,Marketaxess Holdings,MKTX
581,Martin Marietta Materials,MLM
582,Marsh & Mclennan Companies,MMC
583,3M Company,MMM
584,Monster Beverage Cp,MNST
585,Altria Group,MO
586,Molina Healthcare Inc,MOH
587,Morningstar Inc,MORN
588,Mosaic Company,MOS
589,Mp Materials Corp,MP
590,Marathon Petroleum Corp,MPC
591,Medical Properties Trust,MPW
592,Monolithic Power Sys,MPWR
593,Mercury Sys Inc,MRCY
594,Merck & Company,MRK
595,Moderna Inc,MRNA
596,Marathon Oil Corp,MRO
597,Mirati Therapeutics,MRTX
598,Maravai Lifesciences Holdings Inc Cl A,MRVI
599,Marvell Technology Inc,MRVL
600,Morgan Stanley,MS
601,Msa Safety Inc,MSA
602,MSCI Inc,MSCI
603,Microsoft Corp,MSFT
604,Madison Square Garden Sports Corp,MSGS
605,Motorola Solutions,MSI
606,Msc Industrial Direct Company,MSM
607,M&T Bank Corp,MTB
608,Match Group Inc,MTCH
609,Mettler-Toledo International,MTD
610,Mgic Investment Corp,MTG
611,Vail Resorts,MTN
612,Mastec Inc,MTZ
613,Micron Technology,MU
614,Natl Instruments Cor,NATI
615,Neurocrine Bioscienc,NBIX
616,Norwegian Cruise Ord,NCLH
617,Ncino Inc,NCNO
618,NCR Corp,NCR
619,Nasdaq Inc,NDAQ
620,Nordson Corp,NDSN
621,Nextera Energy,NEE
622,Newmont Mining Corp,NEM
623,Cloudflare Inc Cl A,NET
624,Newmarket Corp,NEU
625,New Relic Inc,NEWR
626,New Fortress Energy Llc,NFE
627,National Fuel Gas Company,NFG
628,Netflix Inc,NFLX
629,NiSource Inc,NI
630,Nike Inc,NKE
631,Annaly Capital Management Inc,NLY
632,National Retail Properties,NNN
633,Northrop Grumman Corp,NOC
634,Nov Inc,NOV
635,Servicenow Inc,NOW
636,NRG Energy,NRG
637,National Storage Affiliates Tru,NSA
638,Norfolk Southern Corp,NSC
639,Netapp Inc,NTAP
640,Nutanix Inc,NTNX
641,Natera Inc,NTRA
642,Northern Trust Corp,NTRS
643,Nucor Corp,NUE
644,Novavax Inc,NVAX
645,Novocure Ltd Ord Sh,NVCR
646,Nvidia Corp,NVDA
647,NVR Inc,NVR
648,Envista Holdings Corp,NVST
649,Nvent Electric Plc,NVT
650,Newell Rubbermaid Inc,NWL
651,News Corp Cl B,NWS
652,News Corp Cl A,NWSA
653,Nexstar Media Group Inc,NXST
654,New York Community Bancorp,NYCB
655,New York Times Company,NYT
656,Realty Income Corp,O
657,Owens Corning Inc,OC
658,Old Dominion Freight Line Inc,ODFL
659,Oge Energy Corp,OGE
660,Organon & Co.,OGN
661,Omega Healthcare Investors,OHI
662,Oneok Inc,OKE
663,Okta Inc Cl A,OKTA
664,Universal Display,OLED
665,Ollies Bargain CS,OLLI
666,Olin Corp,OLN
667,Olaplex Holdings Inc,OLPX
668,Omnicom Group Inc,OMC
669,Onemain Holdings Inc,OMF
670,On Semiconductor,ON
671,Opendoor Technologies Inc,OPEN
672,Oracle Corp,ORCL
673,Old Republic International Corp,ORI
674,O'Reilly Automotive,ORLY
675,Oak Street Health Inc,OSH
676,Oshkosh Truck Corp,OSK
677,Otis Worldwide Corp,OTIS
678,Ovintiv Inc,OVV
679,Blue Owl Capital Inc,OWL
680,Occidental Petroleum Corp,OXY
681,Bank Ozk,OZK
682,Pacwest Bancorp,PACW
683,Penske Automotive Group,PAG
684,Palo Alto Networks Inc,PANW
685,Paramount Global Cl B,PARA
686,Paramount Global Cl A,PARAA
687,Uipath Inc Cl A,PATH
688,Paycom Software Inc,PAYC
689,Paychex Inc,PAYX
690,Prosperity Bancshares,PB
691,Paccar Inc,PCAR
692,Pacific Gas & Electric Company,PCG
693,Procore Technologies Inc,PCOR
694,Paylocity Holdings Corp,PCTY
695,Pdc Energy Inc,PDCE
696,Healthpeak Properties Inc,PEAK
697,Public Service Enterprise Group Inc,PEG
698,Pegasystems Inc,PEGA
699,Penumbra Inc,PEN
700,Penn Entertainment Inc,PENN
701,Pepsico Inc,PEP
702,Pfizer Inc,PFE
703,Principal Financial Group Inc,PFG
