Ranking,Company Name,Symbol
810,Silgan Holdings,SLGN
811,SLM Corp,SLM
812,Smartsheet Inc Cl A,SMAR
813,Scotts Miracle-Gro Company,SMG
815,Schneider National Inc,SNDR
816,Snowflake Inc Cl A,SNOW
818,Synovus Financial Corp,SNV
819,Synnex Corp,SNX
821,Sofi Technologies Inc,SOFI
822,Sonoco Products Company,SON
823,Spectrum Brands Holdings Inc,SPB
826,Splunk Inc,SPLK
827,Spotify Technology S.A.,SPOT
828,Spirit Aerosystems Holdings,SPR
829,Block Inc,SQ
830,Spirit Realty Capital Inc,SRC
831,Stericycle Inc,SRCL
833,Sarepta Therapeutics,SRPT
834,SS&C Technologies,SSNC
835,Ssr Mining Inc,SSRM
836,Sensata Technologies Holding N.V.,ST
840,Starwood Property Trust,STWD
842,Sun Communities,SUI
845,Southwestern Energy Company,SWN
848,Syneos Health Inc,SYNH
852,Teradata Corp,TDC
854,Teladoc Health Inc,TDOC
856,Atlassian Corp,TEAM
860,Tfs Financial Corp,TFSL
861,Teleflex Inc,TFX
863,Tenet Healthcare Corp,THC
864,The Hanover Insurance Group,THG
865,Thor Industries,THO
867,Timken Company,TKR
870,Tandem Diabetes Care,TNDM
871,Travel + Leisure Co.,TNL
872,Toll Brothers Inc,TOL
873,Toast Inc Cl A,TOST
876,Tempur-Pedic International Inc,TPX
877,Trex Company,TREX
879,Tripadvisor Inc,TRIP
882,Transunion,TRU
888,Toro Company,TTC
890,Tetra Tech Inc,TTEK
892,Tradeweb Markets Inc,TW
893,Thoughtworks Holding Inc,TWKS
894,Twilio,TWLO
895,10X Genomics Inc,TXG
899,Unity Software Inc,U
900,Under Armour Inc Cl C,UA
901,Under Armour,UAA
905,Ugi Corp,UGI
907,U-Haul Holding Series N Non-Voting,UHA.B
906,Amerco Inc,UHAL
909,Ubiquiti Networks,UI
912,Unumprovident Corp,UNM
914,Univar Inc,UNVR
916,Upstart Holdings Inc,UPST
919,US Foods Holding,USFD
920,United Therapeutic,UTHR
921,Uwm Hldg Corp,UWMC
923,Marriot Vacations Worldwide Cor,VAC
924,Veeva Systems Inc,VEEV
925,V.F. Corp,VFC
927,Virtu Financial Cm A,VIRT
930,Valmont Industries,VMI
931,Vmware Inc,VMW
932,Vornado Realty Trust,VNO
933,Vontier Corp,VNT
934,VOYA Financial Inc,VOYA
937,Vertiv Holdings Llc.,VRT
939,Viasat Inc,VSAT
940,Victorias Secret & Co.,VSCO
944,Vitesse Energy Inc,VTS
945,Valvoline Inc,VVV
947,Wayfair Inc,W
949,Western Alliance Bancorp,WAL
953,Webster Financial Corp,WBS
954,Wesco International,WCC
957,Wework Inc,WE
960,Wendys Company,WEN
961,Wex Inc,WEX
963,Wyndham Hotels & Resorts Inc,WH
964,Whirlpool Corp,WHR
965,Wix.com Ltd,WIX
966,Westlake Corp,WLK
969,Advanced Drainage Systems Inc,WMS
971,Wolfspeed Inc,WOLF
972,Petco Health and Wellness Company Cl A,WOOF
973,W.P. Carey & Company Llc,WPC
975,Westrock Company,WRK
976,Willscot Corp,WSC
978,Watsco Inc,WSO
980,Wintrust Financial Corp,WTFC
981,White Mountains Insurance Group,WTM
982,Essential Utilities Inc,WTRG
984,Western Union Company,WU
985,Woodward Inc,WWD
986,World Wrestling Entertainment,WWE
989,United States Steel Corp,X
992,Xpo Inc,XPO
993,Dentsply Sirona Inc,XRAY
995,Yeti Holdings Inc,YETI
997,Zillow Group Cl C,Z
1000,Zillow Grp Inc Cl A,ZG
